Source title,CiteScore,Highest percentile,2020-23 Citations,2020-23 Documents,% Cited,SNIP,SJR,Publisher
Nature Reviews Molecular Cell Biology,173.6,"99.0%
1/410
Molecular Biology",34204,197,92,19.301,35.91,Springer Nature
Nature Reviews Drug Discovery,137.4,"99.0%
1/313
Pharmacology",25276,184,89,19.36,22.399,Springer Nature
Nature Reviews Materials,119.4,"99.0%
1/317
Materials Chemistry",30099,252,79,12.106,21.836,Springer Nature
Nature Reviews Cancer,111.9,"99.0%
1/230
Cancer Research",23727,212,88,11.501,26.837,Springer Nature
Nature Medicine,100.9,"99.0%
3/636
General Medicine",103931,1030,90,8.987,19.045,Springer Nature
Nature Reviews Clinical Oncology,99.4,"99.0%
3/404
Oncology",23646,238,92,10.846,21.048,Springer Nature
Nature Reviews Immunology,93.4,"99.0%
1/236
Immunology",36443,390,78,6.796,16.009,Springer Nature
Nature,90,"99.0%
1/171
",440674,4895,94,10.01,18.509,Springer Nature
Nature Reviews Disease Primers,76.7,"99.0%
4/636
General Medicine",18396,240,71,25.888,10.215,Springer Nature
Nature Energy,75.1,"99.0%
1/272
Energy Engineering and Power Technology",37495,499,89,7.342,17.497,Springer Nature
Nature Reviews Microbiology,74,"99.0%
1/344
Infectious Diseases",31747,429,62,6.54,9.639,Springer Nature
Nature Biotechnology,63,"99.0%
1/311
Biotechnology",38185,606,91,6.067,18.117,Springer Nature
Nature Materials,62.2,"99.0%
1/672
Mechanical Engineering",48231,776,93,6.506,14.231,Springer Nature
Science,61.1,"99.0%
2/171
",303378,4969,79,6.928,11.902,American Association for the Advancement of Science
Materials Science and Engineering R: Reports,60.5,"99.0%
2/672
Mechanical Engineering",6111,101,95,6.823,6.822,Elsevier
Nature Nanotechnology,59.7,"99.0%
2/797
Electrical and Electronic Engineering",37891,635,94,6.292,14.577,Springer Nature
Progress in Materials Science,59.6,"99.0%
4/463
General Materials Science",19738,331,94,8.581,7.796,Elsevier
Nature Methods,58.7,"99.0%
1/438
Biochemistry",45477,775,79,11.172,14.796,Springer Nature
Nature Reviews Genetics,57.4,"99.0%
1/347
Genetics",14934,260,78,5.694,14.293,Springer Nature
Nature Photonics,54.2,"99.0%
3/284
Electronic, Optical and Magnetic Materials",27248,503,92,7.294,11.249,Springer Nature
Nature Reviews Cardiology,53.1,"99.0%
1/387
Cardiology and Cardiovascular Medicine",16673,314,75,6.305,8.408,Springer Nature
Nature Reviews Earth and Environment,52.9,"99.0%
1/211
Nature and Landscape Conservation",14534,275,76,8.974,9.521,Springer Nature
Nature Reviews Chemistry,52.8,"99.0%
2/273
General Chemical Engineering",11825,224,86,5.796,11.603,Springer Nature
Nature Reviews Gastroenterology and Hepatology,52.3,"99.0%
1/167
Gastroenterology",19786,378,72,6.174,9.741,Springer Nature
Nature Catalysis,52.1,"99.0%
2/438
Biochemistry",25308,486,87,5.112,13.315,Springer Nature
Nature Reviews Physics,47.8,"98.0%
3/243
General Physics and Astronomy",11037,231,82,8.171,7.833,Springer Nature
Nature Electronics,47.5,"99.0%
3/797
Electrical and Electronic Engineering",19183,404,85,6.365,11.667,Springer Nature
Nature Reviews Methods Primers,46.1,"98.0%
7/636
General Medicine",5987,130,92,13.074,12.294,Springer Nature
Nature Biomedical Engineering,45.3,"99.0%
1/817
Computer Science Applications",20495,452,92,4.291,7.951,Springer Nature
Nature Microbiology,44.4,"99.0%
3/347
Genetics",28786,648,89,3.681,7.982,Springer Nature
Advanced Materials,43,"99.0%
3/672
Mechanical Engineering",302064,7025,93,3.856,9.191,John Wiley & Sons
Nature Genetics,43,"98.0%
4/347
Genetics",30502,709,88,5.872,17.3,Springer Nature
Nano-Micro Letters,42.4,"99.0%
5/797
Electrical and Electronic Engineering",35834,846,96,3.349,6.484,Open Access Science Online
Nature Reviews Endocrinology,42,"99.0%
2/244
Endocrinology, Diabetes and Metabolism",12152,289,78,5.599,7.274,Springer Nature
Advanced Energy Materials,41.9,"98.0%
4/270
Renewable Energy, Sustainability and the Environment",130903,3126,92,3.289,8.748,John Wiley & Sons
Nature Sustainability,41.9,"99.0%
1/821
Geography, Planning and Development",23104,551,91,5.329,7.366,Springer Nature
Nature Climate Change,40.3,"99.0%
1/604
Social Sciences (miscellaneous)",24123,598,86,5.887,7.724,Springer Nature
Nature Immunology,40,"98.0%
4/233
Immunology and Allergy",27682,692,84,3.676,11.274,Springer Nature
Nature Reviews Nephrology,39,"99.0%
1/81
Nephrology",11558,296,75,5.453,5.939,Springer Nature
Nature Neuroscience,38.6,"99.0%
1/113
General Neuroscience",25593,663,89,4.743,12.261,Springer Nature
Nature Machine Intelligence,36.9,"99.0%
2/395
Computer Networks and Communications",15697,425,85,5.702,5.94,Springer Nature
Nature Human Behaviour,36.8,"99.0%
1/310
Social Psychology",23670,644,86,6.192,6.097,Springer Nature
Materials Today,36.3,"99.0%
4/672
Mechanical Engineering",23435,645,90,3.257,5.949,Elsevier
Nature Reviews Neuroscience,35,"98.0%
2/113
General Neuroscience",10520,301,60,4.165,7.86,Springer Nature
Advanced Powder Materials,33.3,"99.0%
1/176
Metals and Alloys",2734,82,99,4.073,6.197,KeAi Communications Co.
Energy Storage Materials,33,"98.0%
4/272
Energy Engineering and Power Technology",72048,2186,93,2.381,5.374,Elsevier
Accounts of Chemical Research,31.4,"98.0%
8/408
General Chemistry",38224,1216,89,3.288,5.948,American Chemical Society
Nature Cancer,31.1,"97.0%
12/404
Oncology",13098,421,85,3.002,11.9,Springer Nature
Nature Physics,30.4,"98.0%
5/243
General Physics and Astronomy",26933,885,87,4.424,8.228,Springer Nature
Nature Reviews Neurology,29.9,"99.0%
1/97
Cellular and Molecular Neuroscience",11110,371,63,4.132,6.237,Springer Nature
Nature Reviews Rheumatology,29.9,"96.0%
3/73
Rheumatology",10779,361,67,3.9,4.818,Springer Nature
Nature Chemistry,29.6,"98.0%
4/273
General Chemical Engineering",21249,717,90,3.334,6.94,Springer Nature
Advanced Functional Materials,29.5,"98.0%
7/434
Condensed Matter Physics",267474,9056,92,2.516,5.496,John Wiley & Sons
Nature Protocols,29.1,"97.0%
5/221
General Biochemistry, Genetics and Molecular Biology",18380,631,92,3.387,7.419,Springer Nature
International Materials Reviews,28.5,"99.0%
6/672
Mechanical Engineering",2680,94,95,5.12,3.233,SAGE
Nature Food,28.5,"99.0%
1/490
Animal Science and Zoology",11869,417,83,4.461,4.891,Springer Nature
Nature Cell Biology,28.4,"97.0%
9/285
Cell Biology",15679,552,88,3.075,8.913,Springer Nature
Bioactive Materials,28,"98.0%
5/303
Biomedical Engineering",36219,1293,97,2.553,3.466,KeAi Communications Co.
Nature Metabolism,27.5,"98.0%
5/244
Endocrinology, Diabetes and Metabolism",14802,538,86,3.171,7.192,Springer Nature
Nature Geoscience,26.7,"99.0%
1/195
General Earth and Planetary Sciences",15976,598,87,3.942,5.874,Springer Nature
ACS Nano,26,"99.0%
1/307
General Engineering",177423,6834,86,2.267,4.593,American Chemical Society
Advanced Composites and Hybrid Materials,26,"98.0%
3/161
Polymers and Plastics",16922,652,85,2.566,3.623,Springer Nature
Chinese Journal of Catalysis,25.8,"96.0%
14/408
General Chemistry",22238,861,87,1.802,2.932,Science China Press
Carbon Energy,25.7,"96.0%
7/196
Materials Science (miscellaneous)",6966,271,96,2.505,5.202,John Wiley & Sons
Journal of Hazardous Materials,25.4,"99.0%
2/197
Environmental Engineering",270688,10642,93,2.075,2.95,Elsevier
